"Cafaggio , Prato (Po)","2018-09-11","Run Like a Mzungu - Corri per l'Africa","9","","www.primoepizzabike.eu",""
"Castel San Pietro Terme (Bo)","2018-09-11","Circuito Città di Castel San Pietro Terme","5","","www.atleticaaviscspietro.it",""
"Gressoney Saint Jean (Ao)","2018-09-11"," Tot Dret","130","12","www.tordesgeants.it","Trail"
"Novi Ligure (Al)","2018-09-11"," 5000 a Coppie a cambi liberi","5","","www.atleticanovese.it",""
"Russi (Ra)","2018-09-11"," Corsa podistica","6","","www.gslamone.blogspot.it","Strada"
"Borgomanero (No)","2018-09-12","Stravarganbas","6","","sisportsantostefano@blogspot.it",""
"Crema (Cr)","2018-09-12"," ColoriAMO SantaMaria","10","","",""
"La Spezia (Sp)","2018-09-12"," Mennea Day","0","","",""
"Lecce (Le)","2018-09-12"," Pietro Mennea Day","0","","www.fidal-lecce.it",""
"Modena (Mo)","2018-09-12","Corri con Ail Modena","10","","www.ailmodena.org",""
"Offanengo (Cr)","2018-09-12"," Aperunning - Settembre Offanenghese","8","","www.facebook.com/Aperunningcrema",""
"Pescaiola , Arezzo (Ar)","2018-09-12"," Corsa Record - Mennea Day","6","","www.podismo.tv","Trail"
"Rovigo (Ro)","2018-09-12"," Mennea Day","0","","",""
"San Rocco al Porto (Lo)","2018-09-12","Marcia Biffi Vita","10","","",""
"Brescia (Bs)","2018-09-13"," Fluo Run","5","","www.fluorun.it",""
"Caluso (To)","2018-09-13","Corsa della Festa dell'Uva","6","","www.associazioneneedle.org",""
"Mascarino , Castello d'Argile (Bo)","2018-09-13"," Festa de l'Unità","7","","",""
"Milano (Mi)","2018-09-13"," Corrigiuriati - Staffetta Americana a Terne","10","","corrigiuriati.altervista.org",""
"Modena (Mo)","2018-09-13","Corriducale","8","","",""
"Montagnano , Monte San Savino (Ar)","2018-09-13","Montagnanata","7","","www.uppoliciano.it",""
"Pollone (Bi)","2018-09-13","Trofeo Jean Marc Mosca","5","","www.gsapollone.it",""
"Venasca (Cn)","2018-09-13","Trofeo Santa Lucia","5","","",""
"Albareto , Modena (Mo)","2018-09-14","Sagra di Albareto","7","","",""
"Castello , Firenze (Fi)","2018-09-14"," Alleniamoci insieme a Castello","8","","www.atleticacastello.it",""
"Jerago con Orago (Va)","2018-09-14","Una Corsa per Andrea - Una Corsa per la Vita","5","","www.insiemeadandreasipuo.org",""
"Legnano (Mi)","2018-09-14"," Legnano Night Run","7","","www.legnanorun.com","Strada"
"Montonate , Mornago (Va)","2018-09-14","Panzer-Run","7","","",""
"Neive (Cn)","2018-09-14","Una Corsa oer la Vita - 12","6","","",""
"San Vito di Leguzzano (Vi)","2018-09-14"," Su e Xò per San Vito","8","","",""
"Sant'Alberto , Ravenna (Ra)","2018-09-14","Patapodistica","7","","","Strada"
"Asti (At)","2018-09-15","Corri con Noi","8","","",""
"Casalgrande (Re)","2018-09-15","Du Pass ai Buiaun","9","","",""
"Castelvetro di Modena (Mo)","2018-09-15","Camminata Sagra dell'Uva e del Lambrusco","8","","",""
"Cavaion Veronese (Vr)","2018-09-15","Passi fra Olivi e Vigne del Garda","13","","www.fiaspverona.org","Strada"
"Fiesole (Fi)","2018-09-15"," Corri in Compagnia alla Scoperta degli Etruschi","8","","",""
"Firenze (Fi)","2018-09-15"," Firenze parkrun","5","","www.parkrun.it/firenze",""
"Formigine (Mo)","2018-09-15"," Walk dor Aism","3","","",""
"Leffe (Bg)","2018-09-15"," CorroRosa by Strawoman","5","","www.italiarunners.it",""
"Lido di Camaiore (Lu)","2018-09-15","Versilia Half Marathon","21","","www.versiliahalfmarathon.it",""
"Lignano Sabbiadoro (Ud)","2018-09-15","Lignano Sunset Run Half Marathon","21","","www.lignanosunset.it",""
"Lucca (Lu)","2018-09-15"," Mura di Lucca parkrun","5","","www.parkrun.it/muradilucca",""
"Marano Vicentino (Vi)","2018-09-15"," La Maranea","10","","",""
"Marlia (Lu)","2018-09-15"," Camminando per chi ci segue col Cuore","10","","www.luccapodismo.it",""
